category,form_id,title_hint,source,lookup_url,pdf_url_known
Burial,21P-530EZ,Burial Benefits Application,VA Forms Search,https://www.va.gov/find-forms/?query=21P-530EZ,
Burial,21P-530A,State Interment Allowance,VA Forms Search,https://www.va.gov/find-forms/?query=21P-530A,
Burial,40-10007,Pre-Need Burial Eligibility,VA Forms Search,https://www.va.gov/find-forms/?query=40-10007,
Burial,40-1330,Headstone/Marker Request,VA Forms Search,https://www.va.gov/find-forms/?query=40-1330,

Insurance,SGLV-8286,SGLI Election and Certificate,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8286.pdf
Insurance,SGLV-8286S,Supplemental SGLI Beneficiary Form,benefits.va.gov,,https://www.benefits.va.gov/INSURANCE/forms/sglv-8286s.pdf
Insurance,SGLV-8283,Claim for Death Benefits,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8283.pdf
Insurance,SGLV-8284,Accelerated Benefits Option,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8284.pdf
Insurance,SGLV-8715,SGLI Disability Extension,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8715.pdf
Insurance,SGLV-8286A,Family Coverage Election,benefits.va.gov,,https://www.benefits.va.gov/INSURANCE/forms/SGLV_8286A_ed2013-04.pdf
Insurance,SGLV-8284A,Family Coverage Accelerated Benefits,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8284A.pdf
Insurance,SGLV-8283A,Claim for Family Coverage Death Benefits,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8283A.pdf
Insurance,SGLV-8714,Application for VGLI,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8714.pdf
Insurance,SGLV-8721,VGLI Beneficiary Designation,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8721.pdf
Insurance,SGLV-180,VGLI Reinstatement,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-180.pdf
Insurance,SGLV-8600,TSGLI Application,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8600.pdf
Insurance,SGLV-8600A,TSGLI Appeal Request,benefits.va.gov,,https://www.benefits.va.gov/insurance/forms/SGLV-8600A.pdf
