"ProcessName","Id","CPU","WS","StartTime","Path"
"backgroundTaskHost","12500","0.3125","21884928","12/20/2025 3:50:28 PM","C:\Windows\system32\backgroundTaskHost.exe"
"ChatGPT","12048","12.453125","69427200","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","18768","974.53125","2511323136","12/19/2025 3:17:59 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","8308","129.921875","285544448","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","3496","0.046875","39845888","12/19/2025 3:17:57 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"ChatGPT","7820","135.34375","231915520","12/19/2025 3:17:56 AM","C:\Program Files\WindowsApps\OpenAI.ChatGPT-Desktop_1.2025.328.0_x64__2p2nqsd0c76g0\app\ChatGPT.exe"
"conhost","14836","0.046875","10108928","12/20/2025 3:09:48 PM","C:\Windows\system32\conhost.exe"
"Copilot","20948","12.578125","227057664","12/19/2025 3:18:04 AM","C:\Program Files\WindowsApps\Microsoft.Copilot_1.25121.60.0_x64__8wekyb3d8bbwe\Copilot.exe"
"CrossDeviceResume","10764","1.046875","86114304","12/19/2025 3:17:38 AM","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"CrossDeviceService","4500","28.546875","144367616","12/19/2025 3:18:07 AM","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25112.60.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"csrss","1660",,"7294976",,
"csrss","1548",,"7229440",,
"ctfmon","15308","6.84375","42426368","12/19/2025 3:17:40 AM",
"dasHost","28360",,"10526720",,
"DataExchangeHost","25880","0.546875","49430528","12/20/2025 3:08:25 PM","C:\Windows\System32\DataExchangeHost.exe"
"DAX3API","9172",,"16109568",,
"DAX3API","6372",,"23175168",,
"dllhost","23572","0.15625","25829376","12/20/2025 3:03:01 PM","C:\Windows\system32\DllHost.exe"
"dwm","2068",,"166445056",,
"emedtray","18364","0.15625","11231232","12/19/2025 3:17:50 AM","C:\Program Files\WindowsApps\Emurasoft.EmEditor64UWP_25.4.3.0_x64__ws7rg9hnwrpxm\emedtray.exe"
"explorer","10808","219.40625","501964800","12/19/2025 3:17:38 AM","C:\Windows\Explorer.EXE"
"FileCoAuth","3272","0.359375","45207552","12/20/2025 3:42:12 PM","C:\Program Files\Microsoft OneDrive\25.222.1112.0002\FileCoAuth.exe"
"FileSyncHelper","11756",,"29126656",,
"Fing","18112","7.171875","88993792","12/19/2025 3:17:49 AM","C:\Program Files\Fing\Fing.exe"
"Fing","18244","9.171875","43368448","12/19/2025 3:17:50 AM","C:\Program Files\Fing\Fing.exe"
"Fing","15744","45.5625","178278400","12/19/2025 3:19:49 AM","C:\Program Files\Fing\Fing.exe"
"Fing","17984","21.609375","243879936","12/19/2025 3:17:49 AM","C:\Program Files\Fing\Fing.exe"
"fontdrvhost","1920",,"9003008",,
"fontdrvhost","1912",,"5316608",,
"GameSDK","4764",,"9703424",,
"Idle","0",,"8192",,
"IntelAudioService","6300",,"61702144",,
"IntelCpHDCPSvc","2864",,"7475200",,
"ipf_helper","10072","9.203125","12726272","12/19/2025 3:17:38 AM","C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_fe2967a6eb0d3a7d\ipf_helper.exe"
"ipf_uf","6512",,"9158656",,
"ipfsvc","6188",,"7872512",,
"jhi_service","6276",,"8765440",,
"LockApp","15100","4.8125","114171904","12/19/2025 3:17:41 AM","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe"
"LsaIso","1776",,"4657152",,
"lsass","1796",,"38277120",,
"M365Copilot","19656","1.5625","148299776","12/19/2025 3:18:02 AM","C:\Program Files\WindowsApps\Microsoft.MicrosoftOfficeHub_19.2512.46071.0_x64__8wekyb3d8bbwe\M365Copilot.exe"
"Memory Compression","3972",,"151662592",,
"MicrosoftEdgeUpdate","9528",,"5885952",,
"MicrosoftSecurityApp","5076","29.890625","214020096","12/19/2025 3:17:51 AM","C:\Program Files\WindowsApps\Microsoft.6365217CE6EB4_102.2504.16004.0_x64__8wekyb3d8bbwe\MicrosoftSecurityApp\MicrosoftSecurityApp.exe"
"MpDefenderCoreService","5776",,"34107392",,
"msedge","26780","0.90625","48189440","12/20/2025 2:13:15 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","27048","0.28125","57286656","12/20/2025 2:13:15 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","31348","0.0625","34418688","12/20/2025 2:13:36 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","24748","0.0625","10043392","12/20/2025 2:13:15 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","7304","2.59375","126107648","12/20/2025 2:13:35 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","10556","5.265625","197185536","12/20/2025 2:13:15 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","15560","0.109375","21774336","12/20/2025 2:13:15 PM","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedgewebview2","19040","7.015625","10539008","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","19648","2.25","36573184","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","14384","0.265625","24170496","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","14692","6.46875","149372928","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","19756","1","10637312","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","20292","0.015625","11935744","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","20312","26.546875","589824","12/19/2025 3:18:41 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","19792","0.078125","5173248","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","20160","2.0625","24887296","12/19/2025 3:18:02 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","14144","2.5625","1810432","12/19/2025 3:18:41 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","3884","0.34375","2297856","12/19/2025 5:10:48 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","12668","4.796875","135548928","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","3276","6.484375","5697536","12/19/2025 3:18:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","3476","0.46875","16384","12/19/2025 3:18:41 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","12740","7.484375","8511488","12/19/2025 3:18:41 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","13044","3.171875","95567872","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","13448","0.046875","11849728","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","12920","0.046875","11948032","12/19/2025 3:18:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"msedgewebview2","12956","1","44625920","12/19/2025 3:17:40 AM","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.96\msedgewebview2.exe"
"MsMpEng","5848",,"233099264",,
"NgcIso","6892",,"5537792",,
"NisSrv","16744",,"15572992",,
"nvcontainer","9784",,"58605568",,
"nvcontainer","9432","23.875","62468096","12/19/2025 3:17:38 AM","C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"
"nvcontainer","6380",,"42872832",,
"NVDisplay.Container","8076",,"95567872",,
"NVDisplay.Container","3524",,"62070784",,
"OfficeClickToRun","6824",,"77770752",,
"OneApp.IGCC.WinService","6236",,"51175424",,
"OneDrive","12064","88.6875","274014208","12/19/2025 3:29:44 AM","C:\Program Files\Microsoft OneDrive\OneDrive.exe"
"OneDrive.Sync.Service","32148","1.34375","4411392","12/20/2025 7:17:44 AM","C:\Program Files\Microsoft OneDrive\25.222.1112.0002\OneDrive.Sync.Service.exe"
"OpenConsole","7520","0.28125","19935232","12/20/2025 3:09:48 PM","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.12811.0_x64__8wekyb3d8bbwe\OpenConsole.exe"
"PhoneExperienceHost","17104","44.640625","280440832","12/19/2025 3:17:43 AM","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25112.36.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe"
"powershell","8108","1.9375","102850560","12/20/2025 3:09:48 PM","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"
"Registry","376",,"55152640",,
"ROGLiveService","6928",,"44646400",,
"RstMwService","6424",,"11227136",,
"RtkAudUService64","11672","1.1875","6385664","12/19/2025 3:18:08 AM","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9fd384f90914e61a\RtkAudUService64.exe"
"RtkAudUService64","7648",,"20221952",,
"RtkAudUService64","5756",,"20078592",,
"RtkBtManServ","6244",,"6672384",,
"RtkUWP","25368","0.765625","79642624","12/19/2025 6:30:12 AM","C:\Program Files\WindowsApps\RealtekSemiconductorCorp.RealtekAudioControl_1.52.357.0_x64__dt26b99r8h8gj\RtkUWP.exe"
"RuntimeBroker","15928","13.4375","54243328","12/19/2025 3:17:41 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","14176","0.796875","28270592","12/19/2025 3:29:39 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","20840","0.421875","14618624","12/19/2025 3:18:08 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","19832","0.484375","14594048","12/19/2025 3:18:02 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","10236","0.421875","14610432","12/19/2025 3:17:54 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","1792","0.515625","15065088","12/19/2025 6:30:12 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","12480","14.875","83750912","12/19/2025 3:17:39 AM","C:\Windows\System32\RuntimeBroker.exe"
"RuntimeBroker","11596","0.71875","22007808","12/19/2025 3:18:09 AM","C:\Windows\System32\RuntimeBroker.exe"
"SearchHost","11316","7.296875","170631168","12/19/2025 3:17:39 AM","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe"
"SearchIndexer","13160",,"46526464",,
"Secure System","332",,"117133312",,
"SecurityHealthService","17768",,"27365376",,
"SecurityHealthSystray","17748","0.1875","13897728","12/19/2025 3:17:45 AM","C:\Windows\System32\SecurityHealthSystray.exe"
"services","1728",,"13307904",,
"ShellExperienceHost","16392","5.734375","116961280","12/19/2025 3:29:39 AM","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe"
"ShellHost","28124","0.703125","63897600","12/19/2025 6:18:03 PM","C:\Windows\System32\ShellHost.exe"
"sihost","9296","80.125","54345728","12/19/2025 3:17:38 AM","C:\Windows\system32\sihost.exe"
"smartscreen","22992","0.046875","13135872","12/20/2025 3:49:47 PM","C:\Windows\System32\smartscreen.exe"
"smss","1040",,"1617920",,
"spoolsv","5272",,"21393408",,
"StartMenuExperienceHost","12264","4.640625","176689152","12/19/2025 3:17:39 AM","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe"
"svchost","9488","0.5625","15577088","12/19/2025 3:19:47 AM","C:\Windows\system32\svchost.exe"
"svchost","9556","0.359375","11538432","12/19/2025 3:17:38 AM","C:\Windows\system32\svchost.exe"
"svchost","9392",,"8179712",,
"svchost","8340",,"32903168",,
"svchost","8676",,"12959744",,
"svchost","9608","5.078125","37470208","12/19/2025 3:17:38 AM","C:\Windows\system32\svchost.exe"
"svchost","10932",,"35024896",,
"svchost","11000",,"12222464",,
"svchost","10860",,"17551360",,
"svchost","10076",,"28160000",,
"svchost","10836",,"25923584",,
"svchost","7508",,"12726272",,
"svchost","5768",,"8060928",,
"svchost","5784",,"10510336",,
"svchost","5748",,"49897472",,
"svchost","5724",,"11534336",,
"svchost","5736",,"7888896",,
"svchost","5792",,"27193344",,
"svchost","6004",,"16220160",,
"svchost","6860",,"11202560",,
"svchost","5984",,"15237120",,
"svchost","5800",,"26390528",,
"svchost","5808",,"12156928",,
"svchost","20812",,"18345984",,
"svchost","21000",,"15802368",,
"svchost","19272",,"18616320",,
"svchost","18964",,"9957376",,
"svchost","19124",,"11190272",,
"svchost","22036",,"14163968",,
"svchost","30308",,"9314304",,
"svchost","30672",,"16384000",,
"svchost","25104",,"63807488",,
"svchost","22372",,"45391872",,
"svchost","23352",,"11341824",,
"svchost","17856",,"23232512",,
"svchost","13636",,"26329088",,
"svchost","13672",,"15790080",,
"svchost","12452","0.828125","25612288","12/19/2025 3:17:39 AM","C:\Windows\system32\svchost.exe"
"svchost","11572","1.421875","28585984","12/19/2025 3:17:38 AM","C:\Windows\system32\svchost.exe"
"svchost","11588",,"46485504",,
"svchost","13740",,"18350080",,
"svchost","16376","0.671875","17440768","12/19/2025 3:17:41 AM","C:\Windows\system32\svchost.exe"
"svchost","16388",,"17264640",,
"svchost","15520",,"32120832",,
"svchost","14816",,"7622656",,
"svchost","15428",,"28143616",,
"svchost","5704",,"16003072",,
"svchost","2700",,"15888384",,
"svchost","2880",,"9891840",,
"svchost","2688",,"10125312",,
"svchost","2644",,"9625600",,
"svchost","2672",,"14532608",,
"svchost","2888",,"15339520",,
"svchost","3380",,"25911296",,
"svchost","3420",,"18554880",,
"svchost","3252",,"15474688",,
"svchost","3012",,"14680064",,
"svchost","3236",,"11571200",,
"svchost","2604",,"10846208",,
"svchost","2220","3.734375","50118656","12/19/2025 3:17:38 AM","C:\Windows\system32\svchost.exe"
"svchost","2320",,"6156288",,
"svchost","2008",,"51838976",,
"svchost","1160",,"22183936",,
"svchost","1892",,"14557184",,
"svchost","2328",,"7512064",,
"svchost","2532",,"12931072",,
"svchost","2596",,"23953408",,
"svchost","2368",,"28028928",,
"svchost","2344",,"12144640",,
"svchost","2352",,"9981952",,
"svchost","4644",,"18247680",,
"svchost","4836",,"26116096",,
"svchost","4540",,"10874880",,
"svchost","4216",,"42360832",,
"svchost","4476",,"13451264",,
"svchost","4884",,"20013056",,
"svchost","5468",,"10670080",,
"svchost","5556",,"9224192",,
"svchost","5428",,"14323712",,
"svchost","5000",,"9822208",,
"svchost","5232",,"28008448",,
"svchost","4124",,"10014720",,
"svchost","3764",,"9605120",,
"svchost","3844",,"8019968",,
"svchost","3688",,"19189760",,
"svchost","3560",,"14462976",,
"svchost","3604",,"23515136",,
"svchost","3852",,"10964992",,
"svchost","4068",,"12546048",,
"svchost","4080","0.515625","16736256","12/19/2025 3:19:38 AM","C:\Windows\system32\svchost.exe"
"svchost","4060",,"12648448",,
"svchost","3868",,"20516864",,
"svchost","4012",,"12029952",,
"System","4",,"5308416",,
"SystemSettings","23732","160.59375","198344704","12/19/2025 6:42:38 AM","C:\Windows\ImmersiveControlPanel\SystemSettings.exe"
"taskhostw","9448","4.265625","25923584","12/19/2025 3:17:38 AM","C:\Windows\system32\taskhostw.exe"
"TbtP2pShortcutService","6324",,"7909376",,
"ThunderboltService","6200",,"28176384",,
"TiWorker","23916",,"17874944",,
"TrustedInstaller","28188",,"10235904",,
"UMonit64","17964","0.328125","11575296","12/19/2025 3:17:47 AM","C:\Windows\SysWOW64\UMonit64.exe"
"unsecapp","8724",,"9990144",,
"Widgets","12360","6.890625","72343552","12/19/2025 3:17:39 AM","C:\Program Files\WindowsApps\MicrosoftWindows.Client.WebExperience_525.31002.150.0_x64__cw5n1h2txyewy\Dashboard\Widgets.exe"
"WidgetService","13084","1.5625","30187520","12/19/2025 3:17:39 AM","C:\Program Files\WindowsApps\Microsoft.WidgetsPlatformRuntime_1.6.14.0_x64__8wekyb3d8bbwe\WidgetService\WidgetService.exe"
"WindowsTerminal","33148","8.8125","106684416","12/20/2025 3:09:48 PM","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.12811.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"
"wininit","1652",,"7925760",,
"winlogon","1756",,"16723968",,
"WmiPrvSE","33672",,"13578240",,
"WmiPrvSE","26280",,"23982080",,
"WmiPrvSE","7968",,"23576576",,
"WMIRegistrationService","6332",,"17129472",,
"wslservice","6284",,"29798400",,
"WUDFCompanionHost","8080",,"4460544",,
"WUDFCompanionHost","7320",,"4460544",,
"WUDFCompanionHost","2768",,"5586944",,
"WUDFHost","2152",,"19357696",,
"WUDFHost","1120",,"28545024",,
